0 2 0 0 2e+06 0     0 2 0.07 0.10294 4.2357 0.0007 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 2e+06 0     0 2 0.07 0.10294 2.89334 0.0007 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 2e+06 0     0 2 0.07 0.10294 4.2357 0.0007 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 2e+06 0     0 2 0.07 0.10294 2.89334 0.0007 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 2e+06 0     0 3 7 3.19807 4.31714 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 48.9007 2.00105e+06 0     0 5 6.99631 7.48569 4.25276 1.32869 1 1 0.01 0.111899 3.11079 0.0001
0 2 0 49.0603 2.00123e+06 0     0 6 6.99568 96.7155 3.6354 1.35517 1 1 0.01 0.111899 3.11033 0.0001
0 2 0 49.1129 2.00172e+06 0     0 7 6.99399 215.463 3.58296 1.35601 1 1 0.01 0.111899 3.11018 0.0001
0 2 0 55.1602 2.03293e+06 0     0 8 6.88645 183.298 3.59554 1.82968 1 1 0.01 0.111899 3.09379 0.0001
0 2 0 55.9224 1.08495e+07 0     0 14 1.28222 0.00352225 5.38828 1.28222 1 1 0.01 0.111899 3.09186 0.0001
0 2 0 0 2e+06 0     0 3 7 3.19807 4.31714 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 48.9007 2.00105e+06 0     0 5 6.99631 7.48569 4.25276 1.32869 1 1 0.01 0.111899 3.11079 0.0001
0 2 0 49.0603 2.00123e+06 0     0 6 6.99568 96.7155 3.6354 1.35517 1 1 0.01 0.111899 3.11033 0.0001
0 2 0 49.1129 2.00172e+06 0     0 7 6.99399 215.463 3.58296 1.35601 1 1 0.01 0.111899 3.11018 0.0001
0 2 0 55.1602 2.03293e+06 0     0 8 6.88645 183.298 3.59554 1.82968 1 1 0.01 0.111899 3.09379 0.0001
0 2 0 55.9224 1.08495e+07 0     0 14 1.28222 0.00352225 5.38828 1.28222 1 1 0.01 0.111899 3.09186 0.0001
0 2 0 0 2e+06 0     0 3 10 3.94191 4.39943 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 0 2e+06 0     0 3 15 5.02787 4.48109 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 12.6187 2.01523e+06 0     0 5 14.8866 12.5727 4.40129 3.68453 1 1 0.01 0.111899 3.30198 0.0001
0 2 0 12.6442 2.01634e+06 0     0 7 14.8783 92.4244 3.98741 3.75823 1 1 0.01 0.111899 3.3017 0.0001
0 2 0 14.0421 2.37548e+06 0     0 8 12.6274 746.907 3.54991 4.89127 1 1 0.01 0.111899 3.2869 0.0001
0 8 0 14.0973 0 1     0 18 1.60476 1.85555e-05 6.91212 1.60476 1 1 0.01 0.111899 3.28634 0.0001
0 8 0 13500 0 1     0 18 1.60476 1.85555e-05 4.91212 1.60476 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 2e+06 0     0 3 15 5.02787 4.48109 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 12.6187 2.01523e+06 0     0 5 14.8866 12.5727 4.40129 3.68453 1 1 0.01 0.111899 3.30198 0.0001
0 2 0 12.6442 2.01634e+06 0     0 7 14.8783 92.4244 3.98741 3.75823 1 1 0.01 0.111899 3.3017 0.0001
0 2 0 14.0421 2.37548e+06 0     0 8 12.6274 746.907 3.54991 4.89127 1 1 0.01 0.111899 3.2869 0.0001
0 8 0 14.0973 0 1     0 18 1.60476 1.85555e-05 6.91212 1.60476 1 1 0.01 0.111899 3.28634 0.0001
0 8 0 13500 0 1     0 18 1.60476 1.85555e-05 4.91212 1.60476 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 2e+06 0     0 3 15 5.02787 4.48109 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 12.6187 2.01523e+06 0     0 5 14.8866 12.5727 4.40129 3.68453 1 1 0.01 0.111899 3.30198 0.0001
0 2 0 12.6442 2.01634e+06 0     0 7 14.8783 92.4244 3.98741 3.75823 1 1 0.01 0.111899 3.3017 0.0001
0 2 0 14.0421 2.37548e+06 0     0 8 12.6274 746.907 3.54991 4.89127 1 1 0.01 0.111899 3.2869 0.0001
0 8 0 14.0973 0 1     0 18 1.60476 1.85555e-05 6.91212 1.60476 1 1 0.01 0.111899 3.28634 0.0001
0 8 0 13500 0 1     0 18 1.60476 1.85555e-05 4.91212 1.60476 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 2e+06 0     0 3 15 5.02787 4.48109 0 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 12.6187 2.01523e+06 0     0 5 14.8866 12.5727 4.40129 3.68453 1 1 0.01 0.111899 3.30198 0.0001
0 2 0 12.6442 2.01634e+06 0     0 7 14.8783 92.4244 3.98741 3.75823 1 1 0.01 0.111899 3.3017 0.0001
0 2 0 14.0421 2.37548e+06 0     0 8 12.6274 746.907 3.54991 4.89127 1 1 0.01 0.111899 3.2869 0.0001
0 8 0 14.0973 0 1     0 18 1.60476 1.85555e-05 6.91212 1.60476 1 1 0.01 0.111899 3.28634 0.0001
0 8 0 13500 0 1     0 18 1.60476 1.85555e-05 4.91212 1.60476 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 2e+06 0     0 2 0.07 0.10294 4.2357 0.0007 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 2e+06 0     0 2 0.07 0.10294 2.89334 0.0007 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 2e+06 0     0 2 0.07 0.10294 4.2357 0.0007 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 2e+06 0     0 2 0.07 0.10294 2.89334 0.0007 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 2 0.07 0.10294 4.2357 0.0007 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 2 0.07 0.10294 2.89334 0.0007 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 2 0.03 0.106747 3.98495 0.0003 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 2 0.03 0.106747 2.64259 0.0003 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 2 0.03 0.106747 3.98495 0.0003 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 2 0.03 0.106747 2.64259 0.0003 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 2 0.03 0.106747 3.98495 0.0003 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 2 0.03 0.106747 2.64259 0.0003 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 2 0.03 0.106747 3.98495 0.0003 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 2 0.03 0.106747 2.64259 0.0003 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 2 0.03 0.106747 3.98495 0.0003 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 2 0.03 0.106747 2.64259 0.0003 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 2 0.03 0.106747 3.98495 0.0003 1 1 0.01 0.111899 3.65981 0.0001
0 2 0 13500 200000 0     0 2 0.03 0.106747 2.64259 0.0003 1 1 0.01 0.111899 2.31746 0.0001
0 2 0 0 200000 0     0 2 0.03 0.106747 3.98495 0.0003 1 1 0.01 0.111899 3.65981 0.0001
